,file,reflection_row,dl_reflection_width,dl_height_midpoint,11l,11r,10l,10r,9l,9r,8l,8r,7l,7r,6l,6r,5l,5r,4l,4r,3l,3r,2l,2r,1l,1r,edge_4_r,edge_4_l,edge_3_r,edge_3_l,edge_2_r,edge_2_l,edge_1_r,edge_1_l
52,Basler_acA2500-14um__23891378__20221129_144902408_0065.tiff,1544,761,68,26,25,47,47,60,62,68,68,70,70,72,73,68,75,67,75,70,73,70,70,69,69,10,8,17,16,32,32,39,39
53,Basler_acA2500-14um__23891378__20221129_144902408_0066.tiff,1544,760,67,26,25,46,46,60,62,67,68,69,69,70,72,66,74,69,74,69,72,69,69,68,68,10,8,17,16,32,32,39,39
54,Basler_acA2500-14um__23891378__20221129_144902408_0067.tiff,1544,760,66,26,24,46,46,60,61,66,67,68,69,69,71,65,73,68,73,68,71,68,68,67,67,10,8,17,15,32,31,39,38
55,Basler_acA2500-14um__23891378__20221129_144902408_0068.tiff,1544,761,66,26,24,46,46,60,61,65,66,67,68,67,70,64,72,67,71,68,70,67,66,66,66,10,8,17,15,32,31,39,38
56,Basler_acA2500-14um__23891378__20221129_144902408_0069.tiff,1544,761,65,25,24,46,46,60,60,64,65,66,67,65,69,64,71,67,70,67,69,66,65,65,65,10,8,17,15,32,31,39,38
57,Basler_acA2500-14um__23891378__20221129_144902408_0070.tiff,1544,760,64,25,24,46,46,59,59,62,65,64,66,64,69,64,69,66,69,66,68,65,64,64,65,10,8,17,15,32,31,38,38
58,Basler_acA2500-14um__23891378__20221129_144902408_0071.tiff,1544,760,63,25,24,46,45,59,59,61,64,63,66,62,68,64,68,65,68,65,67,64,63,63,63,10,8,17,15,32,31,38,38
59,Basler_acA2500-14um__23891378__20221129_144902408_0072.tiff,1544,761,62,25,24,45,45,59,58,60,63,62,65,61,67,63,68,64,67,64,66,63,62,62,63,10,8,17,15,32,31,38,38
60,Basler_acA2500-14um__23891378__20221129_144902408_0073.tiff,1544,761,61,25,24,45,45,58,58,58,62,61,65,60,66,63,67,63,66,63,65,63,61,62,62,10,8,17,15,31,31,38,38
61,Basler_acA2500-14um__23891378__20221129_144902408_0074.tiff,1544,761,60,25,24,45,45,58,57,57,61,60,64,59,65,62,66,62,65,63,64,62,61,61,61,10,8,16,15,31,30,38,37
62,Basler_acA2500-14um__23891378__20221129_144902408_0075.tiff,1544,760,60,24,23,45,44,57,57,56,61,58,63,59,64,61,65,62,64,62,63,61,60,60,60,10,8,16,15,31,30,38,37
63,Basler_acA2500-14um__23891378__20221129_144902408_0076.tiff,1544,760,59,24,23,45,44,57,56,55,60,57,62,59,64,60,64,61,63,61,62,60,59,59,59,10,8,16,15,31,30,38,37
64,Basler_acA2500-14um__23891378__20221129_144902408_0077.tiff,1544,761,58,24,23,45,44,56,55,54,59,56,62,58,63,59,63,60,63,60,61,59,58,59,59,10,8,16,15,31,30,38,37
65,Basler_acA2500-14um__23891378__20221129_144902408_0078.tiff,1544,760,58,24,23,45,43,56,55,53,58,55,61,58,62,59,62,59,62,59,60,58,58,58,58,9,8,16,15,31,30,38,37
66,Basler_acA2500-14um__23891378__20221129_144902408_0079.tiff,1544,760,57,24,23,45,43,55,54,53,57,55,60,57,61,58,62,58,61,58,59,58,57,57,57,9,8,16,14,31,30,37,36
67,Basler_acA2500-14um__23891378__20221129_144902408_0080.tiff,1544,760,56,24,23,44,43,54,53,52,57,53,60,56,60,57,61,58,60,57,58,57,57,57,56,9,8,16,14,30,29,37,36
68,Basler_acA2500-14um__23891378__20221129_144902408_0081.tiff,1544,761,55,24,23,44,43,53,53,51,56,53,59,56,59,56,60,57,59,57,57,56,56,56,56,9,7,16,14,31,29,37,36
