,file,reference_row,dl_width,dl_height_abs,dl_height_midpoint
71,Basler_acA2500-14um__23891378__20220725_135735383_0372.tiff,665,1047,180,178
72,Basler_acA2500-14um__23891378__20220725_135735383_0377.tiff,665,1048,178,176
73,Basler_acA2500-14um__23891378__20220725_135735383_0382.tiff,665,1045,176,175
74,Basler_acA2500-14um__23891378__20220725_135735383_0387.tiff,665,1046,175,173
75,Basler_acA2500-14um__23891378__20220725_135735383_0392.tiff,665,1045,174,172
76,Basler_acA2500-14um__23891378__20220725_135735383_0397.tiff,665,1045,173,170
77,Basler_acA2500-14um__23891378__20220725_135735383_0402.tiff,665,1045,171,169
78,Basler_acA2500-14um__23891378__20220725_135735383_0407.tiff,665,1044,170,168
79,Basler_acA2500-14um__23891378__20220725_135735383_0412.tiff,665,1044,169,167
80,Basler_acA2500-14um__23891378__20220725_135735383_0417.tiff,665,1042,168,166
81,Basler_acA2500-14um__23891378__20220725_135735383_0422.tiff,665,1044,167,164
82,Basler_acA2500-14um__23891378__20220725_135735383_0427.tiff,665,1041,165,162
83,Basler_acA2500-14um__23891378__20220725_135735383_0432.tiff,665,1042,164,161
84,Basler_acA2500-14um__23891378__20220725_135735383_0437.tiff,665,1041,163,160
85,Basler_acA2500-14um__23891378__20220725_135735383_0442.tiff,665,1040,162,159
86,Basler_acA2500-14um__23891378__20220725_135735383_0447.tiff,665,1040,161,158
